index_no,model,simulation,observer,scenario,run,step,time,agent_name,selected_predictor,predictor_fitness,predictor_prediction,my_play
88,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,8,2025-12-20T13:41,L60p_8,st_trend_8w,0.013333333333333334,9,NOT GOING
89,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,8,2025-12-20T13:41,L60p_9,st_same_lw,0.013333333333333334,5,GOING
90,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,9,2025-12-20T13:41,L60p_0,st_same_5w,0.010638297872340425,3,NOT GOING
91,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,9,2025-12-20T13:41,L60p_1,st_same_5w,0.010526315789473684,3,NOT GOING
92,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,9,2025-12-20T13:41,L60p_2,st_round_avg_4w,0.0136986301369863,2,GOING
93,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,9,2025-12-20T13:41,L60p_3,st_same_2w,0.011764705882352941,5,NOT GOING
94,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,9,2025-12-20T13:41,L60p_4,st_same_5w,0.010526315789473684,3,GOING
95,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,9,2025-12-20T13:41,L60p_5,st_trend_8w,0.012345679012345678,5,NOT GOING
96,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,9,2025-12-20T13:41,L60p_6,st_trend_8w,0.012048192771084338,5,NOT GOING
97,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,9,2025-12-20T13:41,L60p_7,st_same_lw,0.0136986301369863,2,GOING
98,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,9,2025-12-20T13:41,L60p_8,st_trend_8w,0.012195121951219513,5,GOING
99,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,9,2025-12-20T13:41,L60p_9,st_same_lw,0.01282051282051282,2,GOING
100,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,10,2025-12-20T13:41,L60p_0,st_same_5w,0.010638297872340425,2,NOT GOING
101,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,10,2025-12-20T13:41,L60p_1,st_same_5w,0.010526315789473684,2,NOT GOING
102,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,10,2025-12-20T13:41,L60p_2,st_round_avg_4w,0.013513513513513514,3,NOT GOING
103,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,10,2025-12-20T13:41,L60p_3,st_same_2w,0.011494252873563218,2,GOING
104,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,10,2025-12-20T13:41,L60p_4,st_same_5w,0.010526315789473684,2,GOING
105,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,10,2025-12-20T13:41,L60p_5,st_trend_8w,0.012048192771084338,4,GOING
106,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,10,2025-12-20T13:41,L60p_6,st_trend_8w,0.011764705882352941,4,GOING
107,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,10,2025-12-20T13:41,L60p_7,st_same_lw,0.013513513513513514,3,GOING
108,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,10,2025-12-20T13:41,L60p_8,st_trend_8w,0.011904761904761904,4,GOING
109,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,10,2025-12-20T13:41,L60p_9,st_same_lw,0.012658227848101266,3,GOING
110,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,11,2025-12-20T13:41,L60p_0,st_same_5w,0.010638297872340425,1,GOING
111,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,11,2025-12-20T13:41,L60p_1,st_same_5w,0.010526315789473684,1,GOING
112,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,11,2025-12-20T13:41,L60p_2,st_round_avg_4w,0.013513513513513514,3,NOT GOING
113,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,11,2025-12-20T13:41,L60p_3,st_same_2w,0.011494252873563218,3,NOT GOING
114,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,11,2025-12-20T13:41,L60p_4,st_same_5w,0.010526315789473684,1,GOING
115,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,11,2025-12-20T13:41,L60p_5,st_trend_8w,0.012048192771084338,3,GOING
116,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,11,2025-12-20T13:41,L60p_6,st_trend_8w,0.011764705882352941,3,GOING
117,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,11,2025-12-20T13:41,L60p_7,st_same_lw,0.013513513513513514,3,GOING
118,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,11,2025-12-20T13:41,L60p_8,st_trend_8w,0.011904761904761904,3,GOING
